"N. ",Argomento,Domanda,Punteggio,Prove
10,Schema Concettuale,,1,13/02 - Errore
11,Schema concettuale,,1,13/02
12,Misure,,1,13/02
13,Query SQL,,4,13/02
14,Query SQL,,4,13/02 - Errore partition x2
15,Trigger,,6,
16,Trigger,,2,
7,Cardinalità,,1.5,
8,Indici,,1.5,
9,Anticipo Group By,,2,
2,warm restart,undo,1,
6,MongoDB,,1,
1,Consistenza,,1,
3,outlier detection,,1,
4,BDT,,1,
5,Leave-one-out cross validation,,1,
